lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_lsm,val_ExpRate
,304702,0.24735023081302643,0.03144821897149086,202,,,,
1.0,304703,,,,,,,
,306203,0.2532542943954468,0.029657352715730667,203,,,,
1.0,306204,,,,,,,
,307704,0.24948449432849884,0.03241186589002609,204,,,,
1.0,307705,,,,,,,
,309205,0.25149476528167725,0.031400129199028015,205,,,,
1.0,309206,,,,,,,
,310706,0.25033119320869446,0.03054613061249256,206,,,,
1.0,310707,,,,,,,
,312207,0.25271034240722656,0.030516015365719795,207,,,,
1.0,312208,,,,,,,
,313708,0.25319066643714905,0.030877206474542618,208,,,,
1.0,313709,,,,,,,
,315209,,,209,0.48147714138031006,0.034404247999191284,0.7800784111022949,0.4695740342140198
,315209,0.2504982054233551,0.03031352162361145,209,,,,
1.0,315210,,,,,,,
,316710,0.23994804918766022,0.030939217656850815,210,,,,
1.0,316711,,,,,,,
,318211,0.2522067725658417,0.031338512897491455,211,,,,
1.0,318212,,,,,,,
,319712,0.2521871030330658,0.029959755018353462,212,,,,
1.0,319713,,,,,,,
,321213,0.25260472297668457,0.031016021966934204,213,,,,
1.0,321214,,,,,,,
,322714,0.2517019808292389,0.02994910255074501,214,,,,
1.0,322715,,,,,,,
,324215,0.25288429856300354,0.031772542744874954,215,,,,
1.0,324216,,,,,,,
,325716,0.25111958384513855,0.02976382151246071,216,,,,
1.0,325717,,,,,,,
,327217,0.2529222369194031,0.03107353486120701,217,,,,
1.0,327218,,,,,,,
,328718,0.24901887774467468,0.03128578141331673,218,,,,
1.0,328719,,,,,,,
,330219,,,219,0.48897281289100647,0.050961144268512726,0.7705093622207642,0.45233264565467834
,330219,0.2503425180912018,0.0317363515496254,219,,,,
1.0,330220,,,,,,,
,331720,0.2521239221096039,0.031936392188072205,220,,,,
1.0,331721,,,,,,,
,333221,0.24837982654571533,0.030728496611118317,221,,,,
1.0,333222,,,,,,,
,334722,0.2529548108577728,0.03069188818335533,222,,,,
1.0,334723,,,,,,,
,336223,0.25084012746810913,0.028800345957279205,223,,,,
1.0,336224,,,,,,,
,337724,0.24588388204574585,0.030834876000881195,224,,,,
1.0,337725,,,,,,,
,339225,0.25110340118408203,0.032286833971738815,225,,,,
1.0,339226,,,,,,,
,340726,0.25211048126220703,0.03025048039853573,226,,,,
1.0,340727,,,,,,,
,342227,0.24857749044895172,0.030021144077181816,227,,,,
1.0,342228,,,,,,,
,343728,0.2529602646827698,0.030768314376473427,228,,,,
1.0,343729,,,,,,,
,345229,,,229,0.6096960306167603,0.046238549053668976,0.7472566962242126,0.3803245425224304
,345229,0.24772168695926666,0.029668757691979408,229,,,,
1.0,345230,,,,,,,
,346730,0.2518868148326874,0.030010592192411423,230,,,,
1.0,346731,,,,,,,
,348231,0.2480216771364212,0.02886795438826084,231,,,,
1.0,348232,,,,,,,
,349732,0.2515186071395874,0.031001653522253036,232,,,,
1.0,349733,,,,,,,
,351233,0.2480507344007492,0.0318378210067749,233,,,,
1.0,351234,,,,,,,
,352734,0.2485332489013672,0.03087427094578743,234,,,,
1.0,352735,,,,,,,
,354235,0.24936723709106445,0.030165916308760643,235,,,,
1.0,354236,,,,,,,
,355736,0.24622361361980438,0.03180674836039543,236,,,,
1.0,355737,,,,,,,
,357237,0.2545723021030426,0.031217167153954506,237,,,,
1.0,357238,,,,,,,
,358738,0.25290656089782715,0.030837994068861008,238,,,,
1.0,358739,,,,,,,
,360239,,,239,0.5610772967338562,0.04209458455443382,0.7578648328781128,0.42900609970092773
,360239,0.2511845827102661,0.03209830820560455,239,,,,
1.0,360240,,,,,,,
,361740,0.2536618113517761,0.02984623983502388,240,,,,
1.0,361741,,,,,,,
,363241,0.24978527426719666,0.0310524869710207,241,,,,
1.0,363242,,,,,,,
,364742,0.24969106912612915,0.030950877815485,242,,,,
1.0,364743,,,,,,,
,366243,0.25375211238861084,0.029890870675444603,243,,,,
1.0,366244,,,,,,,
,367744,0.24811656773090363,0.029619624838232994,244,,,,
1.0,367745,,,,,,,
,369245,0.24850966036319733,0.02899457886815071,245,,,,
1.0,369246,,,,,,,
,370746,0.25008901953697205,0.02950575016438961,246,,,,
1.0,370747,,,,,,,
,372247,0.24727921187877655,0.030697135254740715,247,,,,
1.0,372248,,,,,,,
,373748,0.2513056695461273,0.030382642522454262,248,,,,
1.0,373749,,,,,,,
,375249,,,249,0.4868248701095581,0.03988807648420334,0.7698309421539307,0.4503042697906494
,375249,0.2501600384712219,0.029276147484779358,249,,,,
1.0,375250,,,,,,,
,376750,0.24899622797966003,0.03232620283961296,250,,,,
1.0,376751,,,,,,,
,378251,0.24462127685546875,0.030213594436645508,251,,,,
1.0,378252,,,,,,,
,379752,0.25319790840148926,0.030253151431679726,252,,,,
1.0,379753,,,,,,,
,381253,0.24628421664237976,0.03091508150100708,253,,,,
1.0,381254,,,,,,,
,382754,0.2496197670698166,0.02975608967244625,254,,,,
1.0,382755,,,,,,,
,384255,0.24866101145744324,0.030394945293664932,255,,,,
1.0,384256,,,,,,,
,385756,0.24814602732658386,0.030562875792384148,256,,,,
1.0,385757,,,,,,,
,387257,0.24808385968208313,0.02910371869802475,257,,,,
1.0,387258,,,,,,,
,388758,0.2502196729183197,0.03083013743162155,258,,,,
1.0,388759,,,,,,,
,390259,,,259,0.5430001616477966,0.06401947885751724,0.7557560801506042,0.41075050830841064
,390259,0.248943030834198,0.030498482286930084,259,,,,
1.0,390260,,,,,,,
,391760,0.24789468944072723,0.031063949689269066,260,,,,
1.0,391761,,,,,,,
,393261,0.24896441400051117,0.030909977853298187,261,,,,
1.0,393262,,,,,,,
,394762,0.24577708542346954,0.028757352381944656,262,,,,
1.0,394763,,,,,,,
,396263,0.24552763998508453,0.02960478700697422,263,,,,
1.0,396264,,,,,,,
,397764,0.2519879937171936,0.031100692227482796,264,,,,
1.0,397765,,,,,,,
,399265,0.24227206408977509,0.030255047604441643,265,,,,
1.0,399266,,,,,,,
,400766,0.24313710629940033,0.029541971161961555,266,,,,
1.0,400767,,,,,,,
,402267,0.24702399969100952,0.030286110937595367,267,,,,
1.0,402268,,,,,,,
,403768,0.24803908169269562,0.03183741122484207,268,,,,
1.0,403769,,,,,,,
,405269,,,269,0.941785991191864,0.06654904782772064,0.6760725975036621,0.33062881231307983
,405269,0.2538849115371704,0.031589325517416,269,,,,
1.0,405270,,,,,,,
,406770,0.25263363122940063,0.030340008437633514,270,,,,
1.0,406771,,,,,,,
,408271,0.25479087233543396,0.029241880401968956,271,,,,
1.0,408272,,,,,,,
,409772,0.24655134975910187,0.030406005680561066,272,,,,
1.0,409773,,,,,,,
,411273,0.24501490592956543,0.02947039157152176,273,,,,
1.0,411274,,,,,,,
,412774,0.243404358625412,0.029520289972424507,274,,,,
1.0,412775,,,,,,,
,414275,0.2500450909137726,0.030374133959412575,275,,,,
1.0,414276,,,,,,,
,415776,0.2570227086544037,0.029948098585009575,276,,,,
1.0,415777,,,,,,,
,417277,0.24708135426044464,0.03201056644320488,277,,,,
1.0,417278,,,,,,,
,418778,0.2443941980600357,0.030149614438414574,278,,,,
1.0,418779,,,,,,,
,420279,,,279,0.5024367570877075,0.0447944737970829,0.7785278558731079,0.45740365982055664
,420279,0.25209882855415344,0.030630776658654213,279,,,,
1.0,420280,,,,,,,
,421780,0.2504197359085083,0.030853716656565666,280,,,,
1.0,421781,,,,,,,
,423281,0.2448902726173401,0.031031880527734756,281,,,,
1.0,423282,,,,,,,
,424782,0.24076087772846222,0.029873095452785492,282,,,,
1.0,424783,,,,,,,
,426283,0.24967841804027557,0.028766289353370667,283,,,,
1.0,426284,,,,,,,
,427784,0.24773643910884857,0.029233982786536217,284,,,,
1.0,427785,,,,,,,
,429285,0.2466645985841751,0.029677070677280426,285,,,,
1.0,429286,,,,,,,
,430786,0.24971306324005127,0.030647799372673035,286,,,,
1.0,430787,,,,,,,
,432287,0.25051966309547424,0.032072532922029495,287,,,,
1.0,432288,,,,,,,
,433788,0.24428203701972961,0.030908064916729927,288,,,,
1.0,433789,,,,,,,
,435289,,,289,0.5152760744094849,0.0422956719994545,0.7607805132865906,0.4432048797607422
,435289,0.2494191974401474,0.030522800981998444,289,,,,
1.0,435290,,,,,,,
,436790,0.24718832969665527,0.030626999214291573,290,,,,
1.0,436791,,,,,,,
,438291,0.24636366963386536,0.029659705236554146,291,,,,
1.0,438292,,,,,,,
,439792,0.2543606460094452,0.03125752508640289,292,,,,
1.0,439793,,,,,,,
,441293,0.24692022800445557,0.029848163947463036,293,,,,
1.0,441294,,,,,,,
,442794,0.24776870012283325,0.030381308868527412,294,,,,
1.0,442795,,,,,,,
,444295,0.245844304561615,0.029539190232753754,295,,,,
